"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NS71","GKN1","Gastrokine-1","OID43758",0.315772834760176,78,NA,NA,"Weak correlation","Spearman","OID20885",0.378605896234722,88,0.000304284475487886,0.000492879731457422,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NS98","SEMA3G","Semaphorin-3G","OID44919",0.182538980007334,78,NA,NA,"No correlation","Spearman","OID30599",-0.148295887324389,88,0.167930144832668,0.203863584425894,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NTU7","CBLN4","Cerebellin-4","OID43457",0.654725021813629,78,NA,NA,"Moderate correlation","Spearman","OID21386",0.718308618928534,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NZK5","ADA2","Adenosine deaminase 2","OID45301",0.836644368289938,78,NA,NA,"Strong correlation","Spearman","OID20394",0.840261175473853,88,1.3913943196152e-24,4.30379229272757e-24,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NZN3","EHD3","EH domain-containing protein 3","OID43661",0.716005513473868,78,NA,NA,"Strong correlation","Spearman","OID30229",0.84310168715438,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9NZP8","C1RL","Complement C1r subcomponent-like protein","OID45443",0.289318276660049,78,NA,NA,"No correlation","Spearman","OID30721",0.601211651579726,88,3.31686503108651e-10,8.5692005036537e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9P0K1","ADAM22","Disintegrin and metalloproteinase domain-containing protein 22","OID43328",0.251921510551648,78,NA,NA,"No correlation","Spearman","OID21001",0.447552447552448,12,0.147205377767155,0.180450457653766,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9P232","CNTN3","Contactin-3","OID45079",0.598300433743472,78,NA,NA,"Moderate correlation","Spearman","OID21092",0.785125567961678,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9P2T1","GMPR2","GMP reductase 2","OID44688",0.774655724022812,78,NA,NA,"Strong correlation","Spearman","OID30623",0.41958041958042,12,0.176577010697551,0.212986586621298,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UBP4","DKK3","Dickkopf-related protein 3","OID45106",0.419289571188305,78,NA,NA,"Weak correlation","Spearman","OID20264",0.824504244302772,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UBQ7","GRHPR","Glyoxylate reductase/hydroxypyruvate reductase","OID44695",0.22591332717915,78,NA,NA,"No correlation","Spearman","OID30289",0.556848228450555,62,3.90559344587885e-06,7.32460963521133e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UBR1","UPB1","Beta-ureidopropionase","OID45009",-0.284504968715495,78,NA,NA,"No correlation","Spearman","OID30352",0.395604395604396,13,0.182195776349148,0.219295342748601,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UBR2","CTSZ","Cathepsin Z","OID45348",0.568684480076885,78,NA,NA,"Moderate correlation","Spearman","OID20365",0.68542848085661,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UBW5","BIN2","Bridging integrator 2","OID45042",0.46643230187534,78,NA,NA,"Weak correlation","Spearman","OID21067",0.845567257229404,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UBX1","CTSF","Cathepsin F","OID44580",0.541167693066427,78,NA,NA,"Moderate correlation","Spearman","OID21500",0.785935683843472,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UEW3","MARCO","Macrophage receptor MARCO","OID44769",0.612665815197461,78,NA,NA,"Moderate correlation","Spearman","OID20210",0.65490824557078,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UFP1","GASK1A","Golgi-associated kinase 1A","OID42496",0.286626344086022,78,NA,NA,"No correlation","Spearman","OID30109",0.764492224193717,66,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UGM5","FETUB","Fetuin-B","OID45362",0.723137621871799,78,NA,NA,"Strong correlation","Spearman","OID20404",0.84651826282977,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UGT4","SUSD2","Sushi domain-containing protein 2","OID45272",0.713147611881789,78,NA,NA,"Strong correlation","Spearman","OID21098",0.686256207953225,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UHL4","DPP7","Dipeptidyl peptidase 2","OID44612",0.682899379101911,78,NA,NA,"Moderate correlation","Spearman","OID20142",0.746348958959714,88,7.08687810250084e-17,2.03589958720699e-16,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UHN6","CEMIP2","Cell surface hyaluronidase","OID42265",0.014985014985015,78,NA,NA,"No correlation","Spearman","OID30499",0.196480938416422,32,0.279893119162531,0.324473331032159,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UHV9","PFDN2","Prefoldin subunit 2","OID44088",0.150411199175824,78,NA,NA,"No correlation","Spearman","OID20892",0.166281755332791,42,0.292590165739599,0.337075813387763,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UHY7","ENOPH1","Enolase-phosphatase E1","OID42409",0.138972968244248,78,NA,NA,"No correlation","Spearman","OID31349",0.245592429349235,57,0.0657535041951535,0.0842630036734714,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UI42","CPA4","Carboxypeptidase A4","OID44560",0.713830473324144,78,NA,NA,"Strong correlation","Spearman","OID30606",0.319688542825362,30,0.0854209270753891,0.108359805245072,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UIB8","CD84","SLAM family member 5","OID43501",0.190227494024962,78,NA,NA,"No correlation","Spearman","OID20607",0.238579127188194,88,0.0254102909831045,0.0342341509784308,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UJ70","NAGK","N-acetyl-D-glucosamine kinase","OID44007",0.279075355024722,78,NA,NA,"No correlation","Spearman","OID30271",0.0238095238095238,8,0.976785714285714,0.98025873015873,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UJA9","ENPP5","Ectonucleotide pyrophosphatase/phosphodiesterase family member 5","OID44627",0.44482784154017,78,NA,NA,"Weak correlation","Spearman","OID20736",0.757894736842105,39,2.47355813203611e-07,5.08678894548045e-07,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UJC5","SH3BGRL2","SH3 domain-binding glutamic acid-rich-like protein 2","OID43069",0.331276318618091,78,NA,NA,"Weak correlation","Spearman","OID30863",0.324267920593826,88,0.00205513820479218,0.00307318017643757,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UJU6","DBNL","Drebrin-like protein","OID44593",0.544759038429924,78,NA,NA,"Moderate correlation","Spearman","OID20681",0.845479201155296,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UK05","GDF2","Growth/differentiation factor 2","OID44675",-0.105653839831055,78,NA,NA,"No correlation","Spearman","OID20202",-0.176024092141876,88,0.100867242013943,0.126955536492465,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UK23","NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","OID44801",0.367973798353545,78,NA,NA,"Weak correlation","Spearman","OID30643",0.261103870945018,88,0.0142199772449262,0.0196023862143121,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UKK9","NUDT5","ADP-sugar pyrophosphatase","OID45205",0.514106147017539,78,NA,NA,"Moderate correlation","Spearman","OID21115",0.786820774162546,78,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UKU9","ANGPTL2","Angiopoietin-related protein 2","OID44461",0.258538929425005,78,NA,NA,"No correlation","Spearman","OID20726",0.119108739361904,78,0.298293036326109,0.342596986787566,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UKX5","ITGA11","Integrin alpha-11","OID43875",0.250065723749934,78,NA,NA,"No correlation","Spearman","OID20581",0.731164805748301,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UL46","PSME2","Proteasome activator complex subunit 2","OID44138",0.656874770798821,78,NA,NA,"Moderate correlation","Spearman","OID20989",0.696611602268325,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9ULA0","DNPEP","Aspartyl aminopeptidase","OID43628",0.481834621075127,78,NA,NA,"Weak correlation","Spearman","OID31118",0.124805339265851,30,0.509537155787013,0.56178461805033,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9ULI3","HEG1","Protein HEG homolog 1","OID44699",0.504014972369403,78,NA,NA,"Moderate correlation","Spearman","OID30579",0.0950125039625234,88,0.377872234290776,0.427044797311597,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UM47","NOTCH3","Neurogenic locus notch homolog protein 3","OID45200",0.654522692497376,78,NA,NA,"Moderate correlation","Spearman","OID20253",0.606723961818886,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UMF0","ICAM5","Intercellular adhesion molecule 5","OID44708",0.625400914874599,78,NA,NA,"Moderate correlation","Spearman","OID20145",0.660483870967742,31,7.85644759093132e-05,0.000133784756111033,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UMX5","NENF","Neudesin","OID42825",-0.111142022534428,78,NA,NA,"No correlation","Spearman","OID31354",-0.0369483286957134,88,0.732067529541918,0.767442930030573,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UN19","DAPP1","Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide","OID43590",0.485324801780498,78,NA,NA,"Weak correlation","Spearman","OID20524",0.582758620689655,29,0.00111976667170728,0.00172943443550961,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UNN8","PROCR","Endothelial protein C receptor","OID42946",0.174395225028136,78,NA,NA,"No correlation","Spearman","OID30149",0.421894262266211,88,4.99357847210143e-05,8.67346168461925e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UNZ2","NSFL1C","NSFL1 cofactor p47","OID44819",0.74751830448033,78,NA,NA,"Strong correlation","Spearman","OID21022",0.829893276038181,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UP79","ADAMTS8","A disintegrin and metalloproteinase with thrombospondin motifs 8","OID44440",0.711478395022699,78,NA,NA,"Strong correlation","Spearman","OID21502",0.72304324028462,28,2.34508669685003e-05,4.13042571098859e-05,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9UQP3","TNN","Tenascin-N","OID45287",0.580166668774264,78,NA,NA,"Moderate correlation","Spearman","OID30412",0.663449684759255,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y240","CLEC11A","C-type lectin domain family 11 member A","OID45074",0.676677752627119,78,NA,NA,"Moderate correlation","Spearman","OID21112",0.141172119564432,88,0.189534392791792,0.227642903682908,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y251","HPSE","Heparanase","OID45143",0.783532922773429,78,NA,NA,"Strong correlation","Spearman","OID30409",0.843753302102779,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y266","NUDC","Nuclear migration protein nudC","OID44046",0.450023660549976,78,NA,NA,"Weak correlation","Spearman","OID20623",0.103331451157538,22,0.646249419890467,0.688316599109752,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y275","TNFSF13B","Tumor necrosis factor ligand superfamily member 13B","OID45285",0.302932058267732,78,NA,NA,"Weak correlation","Spearman","OID20272",0.418037406220281,88,5.92238762115036e-05,0.000102238159392642,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y279","VSIG4","V-set and immunoglobulin domain-containing protein 4","OID45294",0.737907661958295,78,NA,NA,"Strong correlation","Spearman","OID21144",0.87504843084076,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y2B0","CNPY2","Protein canopy homolog 2","OID42307",0.0005700871898055,78,NA,NA,"No correlation","Spearman","OID20069",0.0152960912018246,55,0.911743449894946,0.927349869307562,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y2E5","MAN2B2","Epididymis-specific alpha-mannosidase","OID44765",0.827463675564941,78,NA,NA,"Strong correlation","Spearman","OID30306",0.882959753802691,88,5.52945727159639e-30,1.74378694403137e-29,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y2V2","CARHSP1","Calcium-regulated heat-stable protein 1","OID42222",0.157980085348506,78,NA,NA,"No correlation","Spearman","OID20859",0.445449833395039,74,8.28634595527734e-05,0.000140892840113074,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y2Y8","PRG3","Proteoglycan 3","OID45237",0.253283136721957,78,NA,NA,"No correlation","Spearman","OID30383",0.841814370116257,54,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y2Z0","SUGT1","Protein SGT1 homolog","OID43146",0.602446657183499,78,NA,NA,"Moderate correlation","Spearman","OID21229",0.0883275261324042,41,0.581698108572719,0.62833583720295,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y3B8","REXO2","Oligoribonuclease, mitochondrial","OID43007",0.172751299333578,78,NA,NA,"No correlation","Spearman","OID30075",-0.0581874537705611,88,0.589584599482167,0.635760279670838,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y4C0","NRXN3","Neurexin-3","OID42853",-0.141643166959623,78,NA,NA,"No correlation","Spearman","OID30901",-0.0776487663280116,53,0.579497148629805,0.627279272102636,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y4L1","HYOU1","Hypoxia up-regulated protein 1","OID45145",0.537019942083233,78,NA,NA,"Moderate correlation","Spearman","OID20300",0.683679175093692,88,2.12699477562784e-13,5.78645084743093e-13,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y5C1","ANGPTL3","Angiopoietin-related protein 3","OID45306",0.743244097674477,78,NA,NA,"Strong correlation","Spearman","OID20407",0.795921242647318,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y5Y7","LYVE1","Lymphatic vessel endothelial hyaluronic acid receptor 1","OID45478",0.406846318238723,78,NA,NA,"Weak correlation","Spearman","OID30728",0.759501250396253,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y639","NPTN","Neuroplastin","OID42848",0.0368205727644652,78,NA,NA,"No correlation","Spearman","OID21235",0.292338709677419,31,0.110596219576797,0.138429192796235,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y646","CPQ","Carboxypeptidase Q","OID45090",0.662185915350472,78,NA,NA,"Moderate correlation","Spearman","OID30406",0.789913968488662,88,5.85846456872389e-20,1.76378839949047e-19,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y6E0","STK24","Serine/threonine-protein kinase 24","OID43138",0.687325332894953,78,NA,NA,"Moderate correlation","Spearman","OID20837",0.588352699931647,76,4.41883821096014e-08,9.76295174202348e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y6N7","ROBO1","Roundabout homolog 1","OID44900",0.359147181931992,78,NA,NA,"Weak correlation","Spearman","OID20734",0.577630234933606,88,6.65779384992703e-09,1.54982458898301e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q9Y6Y9","LY96","Lymphocyte antigen 96","OID43947",0.148165007112376,78,NA,NA,"No correlation","Spearman","OID20945",0.273715415019763,23,0.205565899121896,0.245591428686371,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05787","KRT8","Keratin, type II cytoskeletal 8","OID42685",0.191991101223582,78,NA,NA,"No correlation","Spearman","OID30865",0.198930394619561,42,0.20589315813948,0.245722384291198,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P30405","PPIF","Peptidyl-prolyl cis-trans isomerase F, mitochondrial","OID45232",0.0633363068688671,78,NA,NA,"No correlation","Spearman","OID30385",0.318627450980392,17,0.212229311904975,0.252676113555088,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P35754","GLRX","Glutaredoxin-1","OID44685",0.238554130131067,78,NA,NA,"No correlation","Spearman","OID20195",0.649994716635554,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P49354","FNTA","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","OID43726",0.265906811014446,78,NA,NA,"No correlation","Spearman","OID31381",0.45,9,0.229817019400353,0.271689439689003,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q15043","SLC39A14","Metal cation symporter ZIP14","OID43094",-0.146086956521739,78,NA,NA,"No correlation","Spearman","OID20852",-0.0462636173936861,65,0.714403836468869,0.75238986135574,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q5T2D2","TREML2","Trem-like transcript 2 protein","OID45290",0.164067475904301,78,NA,NA,"No correlation","Spearman","OID21120",0.643657904479822,74,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q5VSG8","MANEAL","Glycoprotein endo-alpha-1,2-mannosidase-like protein","OID42730",0.00967940394632779,78,NA,NA,"No correlation","Spearman","OID31244",0.538461538461539,12,0.0749022866724823,0.0957697413966393,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","Q6UWV6","ENPP7","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7","OID44628",-0.0880891487029594,78,NA,NA,"No correlation","Spearman","OID20689",0.733474352194606,62,0,0,"Strong correlation","Spearman"
